datetime,Haifa_broken clouds,Haifa_drizzle,Haifa_dust,Haifa_few clouds,Haifa_fog,Haifa_haze,Haifa_heavy intensity rain,Haifa_heavy intensity shower rain,Haifa_light rain,Haifa_mist,Haifa_moderate rain,Haifa_overcast clouds,Haifa_proximity thunderstorm,Haifa_scattered clouds,Haifa_shower rain,Haifa_sky is clear,Haifa_thunderstorm,Haifa_thunderstorm with heavy rain,Haifa_thunderstorm with light rain,Haifa_thunderstorm with rain,Haifa_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23698969173337833,0.0,0.0,0.0,0.023698969173337827,0.0,0.0,0.0,0.0,0.08333333333333333,0.13770348403876298,0.2654284547413837,0.1899535697099596,0.09259132142141309,0.02993554000842673
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1658927842133648,0.0,0.0,0.0,0.1214051066259087,0.0,0.0,0.0,0.0,0.0,0.14690289117262015,0.2375139534677505,0.18892407661404928,0.09353884818022877,0.045822339726077854
2012-10-03,0.011009565660203204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2684752314549994,0.0,0.0,0.0,0.0,0.0,0.18797437875668369,0.20130146533013737,0.17109941969551032,0.09099505022355449,0.06914488887891153
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28673183476394865,0.0,0.0,0.0,0.0,0.0,0.19954440840088097,0.2113629188283974,0.16099499145331864,0.09335455085337879,0.04801129570007554
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911568702844559,0.0,0.0,0.0,0.0,0.0,0.20078067115339035,0.21735681446403587,0.16208876304788133,0.0947952600926137,0.033821620957622804
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2904948859761444,0.0,0.0,0.0,0.0,0.0,0.18313703088756317,0.2376350200771432,0.15992719034615474,0.09457973031781462,0.03422614239517983
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826536122985059,0.0,0.0,0.0,0.0,0.0,0.18162295061314096,0.2564177293509107,0.15204885106084695,0.09202675749253696,0.03523009918405851
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946979563932048,0.0,0.0,0.0,0.0,0.0,0.18049049869502384,0.23983772455335392,0.15871566265149153,0.09594817184895056,0.030309985857975338
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978620846041146,0.0,0.0,0.0,0.0,0.0,0.18437594811868407,0.2232192145452497,0.1593631966893053,0.0969783531269212,0.03820120291572515
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30468249919690304,0.0,0.0,0.0,0.0,0.0,0.18278352080732493,0.21286290558421117,0.1651016076082582,0.09919895322689885,0.03537051357640373
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32245985715868136,0.0,0.0,0.0,0.0,0.0,0.1952019571054603,0.18125876913126363,0.17296667154114154,0.0976578968072478,0.0304548482562053
2012-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30388208244274917,0.0,0.0,0.0,0.0,0.0,0.19035635481455845,0.18842185792594793,0.16824542050227817,0.09142912405884679,0.05766516025561944
2012-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30202506893034065,0.0,0.0,0.0,0.0,0.0,0.1874617773178623,0.19345900936511742,0.1636961170720748,0.09833374337266924,0.05502428394193563
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30057627647828455,0.0,0.0,0.0,0.0,0.0,0.17663165428133745,0.20001357797851868,0.17023464491086246,0.09786204350455795,0.05468180284643887
2012-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2935341110286642,0.0,0.0,0.0,0.0,0.0,0.18855283125857655,0.19770594574513603,0.16322566368995303,0.09556924545119318,0.06141220282647695
2012-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31294491037144606,0.0,0.0,0.0,0.0,0.0,0.20729770760184196,0.13195450207152887,0.1768855649192519,0.10188904058605237,0.0690282744498788
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33991705866862093,0.0,0.0,0.0,0.0,0.0,0.2073002056231136,0.07032319848471395,0.1990969167478033,0.11067067026420235,0.07269195021154587
2012-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3501546442279731,0.0,0.0,0.0,0.0,0.0,0.18921135198257366,0.07584049429891772,0.20576241518575755,0.11400383765561935,0.06502725664915864
2012-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381080174457584,0.0,0.0,0.0,0.0,0.0,0.16468381970368065,0.1453866479773663,0.19778862442214237,0.11008168009861918,0.04395121035243312
2012-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3330955054180698,0.0,0.0,0.0,0.0,0.0,0.1621888024044867,0.16891925041986808,0.19071581483309694,0.10680717669273493,0.03827345023174354
2012-10-21,0.011918637932127883,0.0,0.0,0.06705133564005533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08660249647243375,0.0,0.14973486672855338,0.0,0.0,0.0,0.0,0.0,0.19004480654614342,0.20377100501432768,0.17061218604154507,0.09780044124414387,0.022464224380669598
2012-10-22,0.0369489243733012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28584911992459977,0.0,0.0,0.0,0.0,0.0,0.19835477265684523,0.16478515586392536,0.17810332444801943,0.1022003064091067,0.033758396324202355
