datetime,Las Vegas_broken clouds,Las Vegas_drizzle,Las Vegas_dust,Las Vegas_few clouds,Las Vegas_fog,Las Vegas_haze,Las Vegas_heavy intensity drizzle,Las Vegas_heavy intensity rain,Las Vegas_light intensity drizzle,Las Vegas_light intensity shower rain,Las Vegas_light rain,Las Vegas_light snow,Las Vegas_mist,Las Vegas_moderate rain,Las Vegas_overcast clouds,Las Vegas_proximity thunderstorm,Las Vegas_scattered clouds,Las Vegas_sky is clear,Las Vegas_squalls,Las Vegas_thunderstorm,Las Vegas_thunderstorm with heavy rain,Las Vegas_thunderstorm with light rain,Las Vegas_thunderstorm with rain,Las Vegas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33834942662098927,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.061194708227684844,0.06545607909481382,0.20844834691421218,0.2957924003585735,0.0
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32652074948741044,0.0,0.0,0.0,0.0,0.0,0.0,0.03802529352367074,0.14288173525777362,0.20776783873696514,0.2618157962685587,0.022988586725621322
2012-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328541303961664,0.0,0.0,0.0,0.0,0.0,0.0,0.033563700462029944,0.1313003046373646,0.23081953805240552,0.25729096823940956,0.01976530828962898
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094402266230066,0.0,0.0,0.0,0.0,0.0,0.0,0.032373282688636644,0.17319400298842483,0.22095012208722473,0.23447755398779846,0.029564811624908777
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074847526819949,0.0,0.0,0.0,0.0,0.0,0.0,0.030272604924629923,0.17327529280877807,0.2124230242383877,0.23743505437743948,0.0479387807384537
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312122447270271,0.0,0.0,0.0,0.0,0.0,0.0,0.05480906730620185,0.1247243044887073,0.21945177004706898,0.2572982241920416,0.023922944927745184
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416680106992723,0.0,0.0,0.0,0.0,0.0,0.0,0.054403453480148536,0.10184799093819819,0.2243188095584571,0.26252139990535134,0.02430757766526392
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34736652881374086,0.0,0.0,0.0,0.0,0.0,0.0,0.04375773881159057,0.09713543236231177,0.21536529897887188,0.2656054575996119,0.030769543433873
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32734149284600883,0.0,0.0,0.0,0.0,0.0,0.0,0.054616313901331245,0.15345967544113906,0.19757463553716906,0.25082504414627504,0.029836916603409508
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999059299438455,0.0,0.0,0.0,0.0,0.0,0.0,0.04106776602443267,0.12856572004643382,0.21312722751005408,0.23991504076246303,0.047333652662231857
2012-10-11,0.0,0.0,0.0,0.040849636843365116,0.0,0.0,0.0,0.0,0.0,0.0,0.010613978044600734,0.0,0.0,0.0,0.0,0.0,0.035978626112150046,0.2459428417016651,0.0,0.0,0.0,0.0,0.0,0.0,0.06759328813566573,0.1354304885904912,0.21594871935268178,0.18487760388474808,0.06276481733463225
2012-10-12,0.048615951225491415,0.0,0.0,0.011967038788028806,0.0,0.0,0.0,0.0,0.0,0.0,0.07036333193353271,0.0,0.03414534537682113,0.0,0.051809701954614956,0.041405209855696706,0.011542625066084175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19511569447229424,0.14113666459855875,0.14330039673854125,0.20379744770360642,0.04680059228672943
2012-10-13,0.021516426024303356,0.0,0.0,0.07046736030533572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04558588407373144,0.04669066971870625,0.10807613168753967,0.0,0.0,0.0,0.0,0.0,0.0,0.18216036432687366,0.14000798188987215,0.1428384234482059,0.20761273406913064,0.0350440244563012
2012-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010935330248010083,0.2968284360431938,0.0,0.0,0.0,0.0,0.0,0.0,0.16593968511077178,0.1037927767727136,0.15153417959313073,0.2509308198837245,0.020038772348455473
2012-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31513096308672955,0.0,0.0,0.0,0.0,0.0,0.0,0.1664783141026938,0.07023785612603554,0.17203892343458835,0.26042965243652727,0.015684290813425577
2012-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30593812653134084,0.0,0.0,0.0,0.0,0.0,0.0,0.11073997484849828,0.13919428651222515,0.17836265913257734,0.24499029680560547,0.02077465616975288
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3221575318709902,0.0,0.0,0.0,0.0,0.0,0.0,0.11314476739183366,0.11057239714823808,0.18959912458338868,0.24899524058464192,0.015530938420907471
2012-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311145272723289,0.0,0.0,0.0,0.0,0.0,0.0,0.08980035992828422,0.13639787519123409,0.1916232968337559,0.23738631267007734,0.033646882653359446
