datetime,Nashville_broken clouds,Nashville_few clouds,Nashville_fog,Nashville_freezing rain,Nashville_haze,Nashville_heavy intensity rain,Nashville_heavy snow,Nashville_light intensity drizzle,Nashville_light rain,Nashville_light shower snow,Nashville_light snow,Nashville_mist,Nashville_moderate rain,Nashville_overcast clouds,Nashville_proximity thunderstorm,Nashville_proximity thunderstorm with rain,Nashville_scattered clouds,Nashville_shower snow,Nashville_sky is clear,Nashville_smoke,Nashville_snow,Nashville_squalls,Nashville_thunderstorm,Nashville_thunderstorm with heavy rain,Nashville_thunderstorm with light rain,Nashville_thunderstorm with rain,Nashville_very heavy rain,Nashville_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025684132816964217,0.0,0.25941291332581845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3050344815751874,0.0604751309999842,0.18387847982358788,0.0704825127441969,0.06911443542855336
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06601760043508788,0.0,0.0,0.039528652680122595,0.03611461829372679,0.1962621129905405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29751679412359067,0.08033080609858863,0.2124815688069183,0.06735911695119043,0.04999821850458185
2012-10-03,0.011040556587244366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016367158721230627,0.0,0.0,0.022795270663716134,0.0,0.22707908815747277,0.0,0.0,0.0,0.0,0.03406220631657981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23439501455451828,0.21008449889669345,0.19378611016374317,0.07592627320726186,0.022744767852669785
2012-10-04,0.0,0.014398294636731772,0.0,0.0,0.0,0.0,0.0,0.0,0.02080771775923618,0.0,0.0,0.08400947433497707,0.0,0.05433721148408813,0.0,0.0,0.10063197245709748,0.0,0.07932974849008602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23249040465679696,0.10682583483187291,0.21912805496912216,0.1322656852885345,0.01656828274901202
2012-10-05,0.0,0.06037143980143769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055192164497513956,0.0,0.0,0.0,0.0,0.039283173735332765,0.0,0.1704573791924752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2405828607457613,0.14635228730297936,0.22208213733937907,0.14859341219694014,0.014379213423855883
2012-10-06,0.06182899240637651,0.012143471921524747,0.041955079775256164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06218092914036094,0.0,0.0,0.0,0.0,0.03552655624038517,0.0,0.11154098819884888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21243375737338646,0.13891866122825114,0.22224438656754608,0.13915147778202103,0.020673238558610862
2012-10-07,0.09917940252614665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221586947116824,0.0,0.0,0.03504451940595399,0.0,0.07679886824623243,0.0,0.0,0.05947621243636022,0.0,0.01715227999050266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955351538799911,0.13742594760291185,0.17698278911056584,0.13583361920841525,0.058219545093254554
2012-10-08,0.06570708806319471,0.011814321243809177,0.0,0.0,0.0,0.0,0.0,0.0,0.05730806278916184,0.0,0.0,0.0,0.01187649117051001,0.07785503311211049,0.0,0.0,0.03435498110746221,0.0,0.06730566803510286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629206930572064,0.20707911933374623,0.17144276404489245,0.13885216436232398,0.03799358306863788
2012-10-09,0.05805692570882603,0.051674186484019204,0.0,0.0,0.0,0.0,0.0,0.0,0.03958092003218003,0.0,0.0,0.0,0.0,0.13435871867934956,0.0,0.0,0.0,0.0,0.05241375048363778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19080540820514627,0.11047061897250617,0.17642808061445925,0.1617894429624844,0.024421947857391334
2012-10-10,0.0,0.016601834831648392,0.014591833836001725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07420798900888094,0.0,0.0,0.0,0.0,0.042921281730149995,0.0,0.19663417994808932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432606056364848,0.06679866795185117,0.17438609751082512,0.15387061365465063,0.016726895891417834
2012-10-11,0.0,0.034498495064617135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06553498389281057,0.0,0.0,0.0,0.0,0.21488010489656828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16653580313424524,0.17416621252165632,0.19084805256763882,0.11194713205001176,0.04158921587245188
2012-10-12,0.0287682510104728,0.013237347326783602,0.01513726747116422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02601870577201675,0.0,0.0,0.026331242502140195,0.0,0.23167789708895534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18933424957415476,0.09515577727443718,0.17690991712601253,0.17625323928168493,0.021176105572177705
2012-10-13,0.05686222328963542,0.0,0.0,0.0,0.0,0.014749796689220678,0.0,0.0,0.0,0.0,0.0,0.11345640679980129,0.0347189319215595,0.050740987035258,0.0,0.0,0.0,0.0,0.038594119943205545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23425739360267886,0.09155146085054018,0.1846131768158866,0.15165838228268028,0.028797120769533665
2012-10-14,0.09430574460900619,0.0,0.01134419945600987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11151126100351529,0.0,0.03529222050755982,0.0,0.0,0.02575361194436261,0.0,0.013812768421097991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24359816201115483,0.0930341651571334,0.18609031153572056,0.14873545284691833,0.03652210250752109
2012-10-15,0.05749797202370761,0.023356640448399923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057651528929270356,0.0,0.0,0.06944376188414109,0.0,0.06555756456054884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847652394573336,0.13814878979550618,0.19375897301435938,0.1123517430359206,0.09746778685081238
2012-10-16,0.02623477374458698,0.08129402990544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015192820557830113,0.0,0.0,0.0,0.0,0.1016199878114006,0.0,0.07264259799167617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795573268950211,0.17656897696436716,0.19316889893569067,0.11270940298904973,0.04101118420492825
2012-10-17,0.013478632276107695,0.03241807974772582,0.057380800767871366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05921066673803994,0.0,0.0,0.0,0.0,0.0,0.0,0.19294136972421017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2385078171692033,0.06620326879530179,0.20519654357346281,0.13286313281711098,0.01727347797372922
2012-10-18,0.08068028021831337,0.01258114095930137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038496958240554366,0.0,0.1784872221962501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18457780449436212,0.1434296310673488,0.20050451621801324,0.09244333661387759,0.06879910999197904
2012-10-19,0.024169217918386703,0.025593260595640266,0.0,0.0,0.0,0.0,0.0,0.0,0.011699116660530301,0.0,0.0,0.022235348323521142,0.0,0.024332508566429253,0.0,0.0,0.15852297805990265,0.0,0.03826582572959976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16813285520703847,0.1879517255358365,0.1961131285913171,0.07899140352698374,0.07800370255206733
2012-10-20,0.08178848538575918,0.027412730966022054,0.0,0.0,0.02640776981631419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04037189069707729,0.0,0.0,0.056172159221691276,0.0,0.09304836471878457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14555065944987108,0.20609880074706213,0.18395783850786554,0.0861113430630297,0.05307995742652296
