datetime,Seattle_broken clouds,Seattle_drizzle,Seattle_few clouds,Seattle_fog,Seattle_haze,Seattle_heavy intensity drizzle,Seattle_heavy intensity rain,Seattle_heavy intensity shower rain,Seattle_heavy snow,Seattle_light intensity drizzle,Seattle_light intensity shower rain,Seattle_light rain,Seattle_light shower snow,Seattle_light snow,Seattle_mist,Seattle_moderate rain,Seattle_overcast clouds,Seattle_proximity thunderstorm,Seattle_scattered clouds,Seattle_shower rain,Seattle_sky is clear,Seattle_smoke,Seattle_snow,Seattle_squalls,Seattle_thunderstorm,Seattle_thunderstorm with heavy rain,Seattle_thunderstorm with light rain,Seattle_thunderstorm with rain,Seattle_very heavy rain,Seattle_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-01,0.0,0.0,0.14199579348625174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027693869474445642,0.0,0.14756412572189598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.258753257680661,0.030494589852956087,0.14304903126967974,0.22160807899751045,0.0
2012-10-02,0.06328424897044654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999000067373401,0.0,0.13445398514642207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19053490932248474,0.10666732543365644,0.15641172007387213,0.2204270954232608,0.008230714956123257
2012-10-03,0.08760623590828169,0.0,0.024658760723635403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07496575757263718,0.0,0.014540539567116068,0.0,0.1300245402804766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17622363853884504,0.0839944115669702,0.18203761639178007,0.20525657347891138,0.02069192597134629
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011944356658197835,0.0,0.0,0.0,0.296169312901638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12730052856582638,0.1752367078432946,0.1458854134433953,0.2072243186005099,0.04154355067738078
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35776147729047564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14647545272815424,0.08499236537962805,0.17031923879123778,0.20855776152479885,0.037996848149378516
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3547384341624292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14031143038875893,0.0991259890282906,0.17640952022171716,0.2110397033903757,0.04176016120655491
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556002455592986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15402587987162628,0.09085674686112488,0.1802403154443887,0.19775775209882843,0.02151906016473311
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562470767321067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15950233903131236,0.10653200034706928,0.18902290604945773,0.17683789677282846,0.011857781067225383
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049216025480674934,0.0,0.3074921007825259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19972018597670615,0.08758028610904807,0.1874106131168399,0.156309882492059,0.01227090604214607
2012-10-10,0.013530461443539104,0.0,0.0,0.0,0.012270365166732668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02573753951675167,0.0,0.03877656323313266,0.0,0.030549464646543876,0.0,0.1888324367063264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19388648833303312,0.14945224282802627,0.15871893720864963,0.16556313375509465,0.022682367162169908
2012-10-11,0.0,0.0,0.0,0.04566705054290038,0.04338804780932384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043238921711451696,0.0,0.015393474526249548,0.0,0.0,0.0,0.20458644279012103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20702524816482837,0.0852018725360771,0.19214186499708266,0.1623260554107226,0.001031021511242754
2012-10-12,0.0,0.0,0.0,0.0,0.04682895133711001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14734232630031638,0.0,0.10731550625262076,0.0,0.0,0.0,0.023802336001392897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2435788007022025,0.12016539589476566,0.14793056698623927,0.15292031970620318,0.010115796819149347
2012-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012972552285312147,0.0,0.0,0.14689871797810214,0.0,0.08720166337122687,0.0,0.04953706623644353,0.0,0.013453182363862398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23087400069589448,0.14389039624052394,0.15188444286703073,0.12666310454543772,0.03662487341616608
2012-10-14,0.03560741663505383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655670627084294,0.0,0.0,0.048443401799364634,0.0,0.14796544844506665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23795251513558255,0.12563069960673498,0.15216055890226837,0.14272460731975276,0.04394828944774684
2012-10-15,0.033326700343175135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024338740319679572,0.0,0.0,0.024354889953470155,0.0,0.19572752673059465,0.0,0.0,0.0,0.01045804693342281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23913665195762193,0.11983778812050654,0.16019822667114147,0.14141532593516556,0.05120610303522217
2012-10-16,0.040107810618933655,0.0,0.0,0.023657791629704383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256112263645963,0.0,0.0,0.06104767031825997,0.01330798331051398,0.13470366981112344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535343582541131,0.13687245940749723,0.1581344084753816,0.1235817481873448,0.029440873622531578
2012-10-17,0.013084236685127657,0.0,0.024459681359662252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014526074152475102,0.0,0.0,0.05280873271304689,0.0,0.04790053732865132,0.0,0.012253297590565593,0.0,0.13854391895516974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175082432864817,0.1456374228995129,0.1580547589601643,0.11391573793219402,0.06130735813694851
2012-10-18,0.04400708560120947,0.0,0.04400822362454463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057761809115343406,0.0,0.028260920408087493,0.0,0.15926321219093506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22622386037853284,0.08977653506391498,0.14393722716534157,0.2027520816010037,0.013435039033525706
2012-10-19,0.02506589857037096,0.0,0.026801183162606376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058515458573793845,0.0,0.012973908813662617,0.0,0.21865738386917602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22776481845097743,0.07964718795404098,0.15863742967738106,0.17889939352075826,0.013037337407232383
2012-10-20,0.050706714172415214,0.0,0.0,0.025541675524252752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026153637586451114,0.0,0.0,0.10005373212926859,0.012505452019273057,0.07289624486770498,0.0,0.0,0.0,0.012298453128668271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23616166205990594,0.13808435746152145,0.15384826969074133,0.11282509536728767,0.05892470599250966
2012-10-21,0.06751292460046283,0.0,0.05125414314400053,0.0,0.0,0.0,0.013360868220167847,0.0,0.0,0.0,0.0,0.01295197059669597,0.0,0.0,0.042893093310562035,0.0,0.0486840460622898,0.0,0.06801144726209257,0.0,0.024813316364224357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25368496694848414,0.11891585385247638,0.13076995090521512,0.125850892761294,0.04129652597203439
2012-10-22,0.10834805174176704,0.0,0.013468236644612675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013826908927925765,0.0,0.0,0.0,0.0,0.1424186926013092,0.0,0.0,0.0,0.03743094354556347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23630234420993712,0.15513297732455214,0.11734152440995264,0.13498624816552995,0.040744072428849996
